Response_ID,file_name,Age,Gender,Nationality,Native Language,Familiarity with English,Accent Strength (Self reported),Difficulties,Recording Machine,Name,Number,Address,Duration (secs)
R_1KvCEEGNThnpnzy,audio_data/Names/R_1KvCEEGNThnpnzy.wav,24,Female,Indian,Marathi,"Educated in English, but not my native language",5,About half the time,Phone Recorder,Saffron Robles,8885112931,48 Ridge Road 407,278
R_1KvCEEGNThnpnzy,audio_data/Addresses/R_1KvCEEGNThnpnzy.wav,24,Female,Indian,Marathi,"Educated in English, but not my native language",5,About half the time,Phone Recorder,Saffron Robles,8885112931,48 Ridge Road 407,278
R_1KvCEEGNThnpnzy,audio_data/Numbers/R_1KvCEEGNThnpnzy.wav,24,Female,Indian,Marathi,"Educated in English, but not my native language",5,About half the time,Phone Recorder,Saffron Robles,8885112931,48 Ridge Road 407,278
R_3nAeHdtYMOFbRQJ,audio_data/Names/R_3nAeHdtYMOFbRQJ.wav,21,Female,Indian,Hindi,"Educated in English, but not my native language",3,Sometimes,Phone Recorder,Anannya,9196856019,"7204, McQueen Drive",542
R_3nAeHdtYMOFbRQJ,audio_data/Addresses/R_3nAeHdtYMOFbRQJ.wav,21,Female,Indian,Hindi,"Educated in English, but not my native language",3,Sometimes,Phone Recorder,Anannya,9196856019,"7204, McQueen Drive",542
R_3nAeHdtYMOFbRQJ,audio_data/Numbers/R_3nAeHdtYMOFbRQJ.wav,21,Female,Indian,Hindi,"Educated in English, but not my native language",3,Sometimes,Phone Recorder,Anannya,9196856019,"7204, McQueen Drive",542
R_1DN3Yy2ILEefmz8,audio_data/Names/R_1DN3Yy2ILEefmz8.wav,24,Female,Indian,Hindi,"Educated in English, but not my native language",4,Sometimes,Phone Recorder,Seraphina Balasubramanian,43126798,99 Willow Lane 493,292
R_1DN3Yy2ILEefmz8,audio_data/Addresses/R_1DN3Yy2ILEefmz8.wav,24,Female,Indian,Hindi,"Educated in English, but not my native language",4,Sometimes,Phone Recorder,Seraphina Balasubramanian,43126798,99 Willow Lane 493,292
R_1DN3Yy2ILEefmz8,audio_data/Numbers/R_1DN3Yy2ILEefmz8.wav,24,Female,Indian,Hindi,"Educated in English, but not my native language",4,Sometimes,Phone Recorder,Seraphina Balasubramanian,43126798,99 Willow Lane 493,292
R_1O7z12FZh2bL6ST,audio_data/Names/R_1O7z12FZh2bL6ST.wav,22,Male,American,English,Native speaker,0,Sometimes,Phone Recorder,Zane Robles,5993415111,34 Elm Street 568,509
R_1O7z12FZh2bL6ST,audio_data/Addresses/R_1O7z12FZh2bL6ST.wav,22,Male,American,English,Native speaker,0,Sometimes,Phone Recorder,Zane Robles,5993415111,34 Elm Street 568,509
